macrepo	typeOfResource_Text	note_Text	identifier_Text	Attributes_xmlns	Attributes_xmlns_colon_mods	Attributes_xmlns_colon_xlink	Attributes_xmlns_colon_xsi	titleInfo_title_Text	originInfo_dateCreated_Text	originInfo_dateOther_Text	language_languageTerm_Text	physicalDescription_form_Text	physicalDescription_extent_Text	physicalDescription_note_Text	subject_geographic_Text	identifier_Attributes_type	subject_geographic_2_Text	originInfo_place_placeTerm_Text	language_languageTerm_Attributes_authority	language_languageTerm_Attributes_type	physicalDescription_form_Attributes_authority	subject_hierarchicalGeographic_continent_Text	subject_hierarchicalGeographic_country_Text	subject_hierarchicalGeographic_province_Text	subject_hierarchicalGeographic_region_Text	subject_hierarchicalGeographic_county_Text	subject_hierarchicalGeographic_city_Text	subject_hierarchicalGeographic_citySection_Text	subject_hierarchicalGeographic_area_Text	originInfo_place_placeTerm_Attributes_type	name_namePart_Text	name_Attributes_type	originInfo_publisher_Text	originInfo_place_2_placeTerm_Text	originInfo_place_placeTerm_Attributes_authority	originInfo_place_2_placeTerm_Attributes_type	titleInfo_subTitle_Text	name_role_roleTerm_Text	name_role_roleTerm_Attributes_authority	name_role_roleTerm_Attributes_type	genre_Text	abstract_Text	genre_Attributes_authority	subject_topic_Text	subject_temporal_Text	subject_cartographics_coordinates_Text		subject_geographic_3_Text			name_2_namePart_Text	name_2_Attributes_type	name_2_role_roleTerm_Text	name_2_role_roleTerm_Attributes_authority	name_2_role_roleTerm_Attributes_type						language_Text		originInfo_place_Text	language_2_languageTerm_Text	originInfo_place_2_Text	language_2_languageTerm_Attributes_authority	language_2_languageTerm_Attributes_type	originInfo_place_3_placeTerm_Text	originInfo_place_3_placeTerm_Attributes_type						originInfo_place_4_placeTerm_Text	originInfo_place_3_placeTerm_Attributes_authority	originInfo_place_4_placeTerm_Attributes_type	citation	thumbnail_link	archive_link
70139	cartographic	"Sheet 2 of 2, north sheet. This plan does not include a scale, title, date, author or directional arrow. It is a copy (with less detail) of the ""Plan of the Village of Inverness"" by Thomas Allen Blyth, P.L.S. as prepared for Andrew Mackenzie Chisholm. The map depicts an area near the former community of Aldershot; the south east corner of the former Township of East Flamborough [present day Burlington, Ontario]. Subsequent historical maps of the area show a different configuration of streets and lots, indicating that Chisholm's plan was never built and the ""Village of Inverness"" never materialized. At the westernmost edge of the map is written ""Hamilton"", indicating the directional location of the city. The map includes the following streets: ""Argyle St"", ""Queen St"", ""Ontario St"", ""Wellington St"", ""Flamboro St"", and ""Wentworth St"". Only ""Argyle St"" and ""Ontario St"" have become modern roads (as King Road and Francis Road, respectively). The rest of the streets laid out in this plan are non-existent. Most of the land shown in the map is now used for commercial or industrial purposes. The Ontario Highway 403 is now found in this area. For additional geographical and historical information see sheet 1 (south sheet)."	RMC_7559B	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"[Plan of the Village of Inverness in Burlington, Ontario]"	1830	[between 1830-1890?]		map	Scale not given	"1 map on 2 sheets ; sheet 2, 30 x 42 cm., on sheet 44 x 43 cm. The map has been lined with archival paper on verso."	East Flamborough (Ont.)	local	Burlington (Ont.)	Canada			marcform	North America	Canada	Ontario	Township of Flamboro East	Wentworth County	Burlington	Aldershot	"Lot 1, Concession 1"	code	[Author unknown]		"[Tho. Allen Blyth, P.L.S.?]"	[Hamilton?]	marccountry	text												Flamborough (Ont.)																														"[Author unknown]. [Plan of the Village of Inverness in Burlington, Ontario]. Scale not given. Canada: [Tho. Allen Blyth, P.L.S.?], [between 1830-1890?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70139/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70139
70140	cartographic	"Scale, -100ft=1in. Directional arrow found to the left of the title. Map details the ""Plan of Lawrence Park"" in the former Township of Ancaster. The map details an area south of Main Street West, not far from McMaster University. A subsequent Hamilton map, ""City of Hamilton: Western Section"" by ""J.W. Tyrell and Co."" [1927?], indicates that the subdivision was built as shown in this plan. This blue print is the formal copy of the subdivision plan retained by the ""Registry Office of the County of Wentworth"". It is signed by ""W.G. Webster"", the provincial land surveyor; ""John Allan"", the Mayor of Hamilton; as well as the Ontario Railway and Municipal Board secretary, city clerk; mortgagee; reeve; owner; and witnesses. For more information on both William Gourlay Webster (1884-1965) and John Allan (1856-1922), see RMC 7626 (""Plan of Kenview Park""). All signatures on the plan are dated 1914, written with black pen over top of the originally printed 1913 date. At the base of the map, below the company information of the surveyors, is the printed date: ""Dated Hamilton Oct. 10th 1913"". In the bottom right hand corner is the key plan inset which shows the location of the plan in greater geographic detail. There are 220 lots included in the subdivision."	RMC_7563	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Plan of Lawrence Park	10/10/1913	1913	eng	map	[1:1200]	"1 map : col. ; 68 x 46 cm., on sheet 71 x 49 cm. Map has a small tear in bottom left hand corner. Map is a blue print on paper retained by the ""Registry Office of the County of Wentworth"". Map has been lined with archival paper on verso."	Hamilton (Ont.)	local	Ancaster (Ont.)	Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Township of Ancaster	Wentworth County	Hamilton	Ainslie Wood	"Lot 56, Concession 1"	code	"Webster, William Gourlay, 1884-1965"	personal	"MacKay, MacKay, & Webster. Engineers & Surveyors. Hamilton, Can."	Hamilton	marccountry	text	"being a subdivision of a part of lot 56, con. 1., Tp. of Ancaster"																																									"Webster, William Gourlay, 1884-1965. Plan of Lawrence Park. [1:1200]. Canada: MacKay, MacKay, & Webster. Engineers & Surveyors. Hamilton, Can., 1913."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70140/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70140
70161	cartographic	"Sheet 1 of 2; south sheet. This map does not include a title, scale, date, or directional arrow. The map shows the lots found in the centre of the former Town of Dundas. The streets listed on the map are all in existence today with the exception of Macnab St. [now nonexistent]. They are the following: Sydenham Rd., York Rd., Park St., Mellville St. [now Melville St.], Victoria St., Alma St., and Cayley St. This map depicts lots 1-155, including a large lot atop which is written ""The quantity of Land contained within the dark red line is 46.89 acres"". There are two property owners listed on map: ""G. Rolph"" and ""T.H. McKenzie"".   George Rolph (1794-1875) was a well-known Reformer, lawyer, and politician. Rolph has a small street named after him in Dundas (found approximately where Macnab St. is shown on this map). Rolph served as a lieutenant in the War of 1812 and he was the brother of well known Reformer and physician Dr. John Rolph (1793-1870). Upon settling in Dundas he took up a position as the first clerk of the peace in the Gore District. He also built a house at 43 Cross Street (currently the oldest standing home in Dundas). Rolph aligned himself with Reformers such as William Lyon Mackenzie which, along with his marital infidelity, led him to be tarred and feathered at the hands of a mob of Tories (including Allan N. MacNab). Before he died, MacNab managed to ascertain and relocate Rolph's property gates which now stand on the premises of Dundurn Castle (known as the Rolph Gates).   Thomas Howard McKenzie (1811-?) was a mapmaker, merchant, explorer, and politician in Dundas. He came to Canada from Scotland in 1830, began as a clerk for then mayor Colin Ferrie. He was elected to the Dundas town council for five years and served as mayor for three."	RMC_7560A	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	[Map of Dundas]	1810	[between 1810 and 1875]	eng	map	Scale not given	"1 map on 2 sheets ; colour ; 40 x 57 cm, on sheet 40 x 65 cm. Map is printed on rag linen paper and lined with archival paper on verso. Colouration is used (red, blue, and yellow) to outline a number of lots. Map has some has fading and deterioration in bottom right hand corner. The map has been lined with archival paper on verso."	Dundas (Ont.)	local	West Flamborough (Ont. : Township)	"[Hamilton, Ont.?]"	iso639-2b	code	marcform	North America	Canada	Ontario	Township of West Flamborough	Wentworth County	Dundas	"Central Dundas, Sydenham neighbourhood, York Heights neighbourhood"	"Lots 15-16, Concession 1"	text	[Author unknown]		[Publisher unknown]															Hamilton (Ont.)																														"[Author unknown]. [Map of Dundas]. Scale not given. [Hamilton, Ont.?]: [Publisher unknown], [between 1810 and 1875]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70161/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70161
70205	cartographic	"Sheet 2 of 2; north sheet. This map does not include a title, scale, date, or directional arrow. The map shows the lots found just north of the former ""Northern Boundary of Town of Dundas"" which, as per the map, runs along Cayley Street.  The streets listed on the map are all the northern extensions of Sydenham Road, Cross Street, Cayley Street, and two unnamed streets [now approximately Parkside Avenue and Helen Street]. The map features a ""cemetery"" [Grove Cemetery] and three large properties belonging to ""Judge Logie"", ""W. Macdonald"", and ""G. Rolph"". Just above Logie's property is the ""Boundary of the G.W. [Great Western] Railway Property"". The map also shows planned lots 121-124 and 164-171. Judge Alexander Logie (1823-1873) was the judge for the Wentworth County Court from 1854 until his death. He also served as Justice of the Supreme Court of Ontario, a city councillor, and was a major landholder in Dundas and Hamilton. Logie was a very active Presbyterian and has a dedicated plaque at St. Paul's Presbyterian where he was a member and elder."	RMC_7560B	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	[Map of Dundas]	1810	[between 1810 and 1875]		map	Scale not given	"1 map on 2 sheets ; colour ; 35 x 61 cm, on sheet 40 x 65 cm. Map is printed on rag linen paper and lined with archival paper on verso. Colouration is used (red and blue) to outline lots and streets. Map has a small rip in right hand corner. It also has a section scribbled out with what appears to be blue coloured pencil or pen. The map has been lined with archival paper on verso."	Dundas (Ont.)	local	Hamilton (Ont.)				marcform	North America	Canada	Ontario	West Flamborough	Ontario	Hamilton	"North Dundas, Flamborough South"	"Lots 15-16, Concession 1"		[Author unknown]		[Publisher unknown]																												eng		Canada	eng	[Hamilton?]	iso639-2b	code	"[Hamilton, Ont.?]"	text									"[Author unknown]. [Map of Dundas]. Scale not given. : [Publisher unknown], [between 1810 and 1875]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70205/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70205
70211	cartographic	"This map does not include a title, scale, or directional arrow. The map is a survey of Michael Aikman's property in central Hamilton. It faces east and shows the Niagara Escarpment on the right side of the map. The streets listed on the map area: Main Street, Wentworth Street, Ida Street [now Delaware Avenue], Burlington Street [now approximately Myrtle Avenue] and the Fourth Concession Road [now Concession Street]. 13 lots are shown including a large open tract of land in the centre. At the base of the map there are signatures of reception and certification by the Registry Office in Hamilton: ""Registry Office Hamilton, 29th February 1872."" It features two dates: April 8, 1852 [certified] and February 29, 1872 [registered]. It is signed by the ""Dep. Reg."" [Deputy Registrar] and listed as a ""copy"".  Landowner Michael Aikman (1797-1881) was a well known politician and businessman in the area. He served as the Justice of the Peace in the Gore Disctrict, a member of the board of directors at the Gore Bank, an officer in the Upper Canada Rebellion of 1837, and a representative of Wentworth County in the Legislative Assemby of Upper Canada."	RMC_7561	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	[Map of Michael Aikman's Survey]	1872-02-29	1872	eng	map	Scale not given	"1 map ; 25 x 47 cm., on sheet 43 x 52 cm. Map is printed on rag linen paper and lined with archival paper on verso. Map ink has been smudged in parts. Left hand corner has a small hole. Along the top edge of the map there is writing in red, ""284[?], Aikman, Drawer 1, 1"". The map has been lined with archival paper on verso."	Hamilton (Ont.)	local		Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	St. Clair neighbourhood	"Lot 10, Concession 3"	code	"Blyth, Thomas Allen"	personal	Hamilton Registry Office	Hamilton	marccountry	text																																										"Blyth, Thomas Allen. [Map of Michael Aikman's Survey]. Scale not given. Canada: Hamilton Registry Office, 1872."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70211/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70211
70385	cartographic	"This localized survey is of lots in the former village of Waterdown. The streets listed are ""Main Street"", ""Kelly Street"", and ""John Street"" (name not listed). All three streets are in existence today. Many of the homes found on these streets are now historic, likely dating back to their construction during this period.  In its entirety, the title reads: ""PLAN of Village Lots in Waterdown being composed of portions of Lots 5, 6, 13 & the whole of 14 lying on the north side of John Street and on the easterly side of Main Street as shown on the PLAN of Waterdown by Henry Winter, P,L,S."" Below the title is listed the scale: ""Scale - One Chain to an Inch."" To the right of the title is found the directional arrow which points to the top right corner as north. Near the arrow is found the map's numbering: ""No 34"" and a certification of the survey with a date included. Most of the writing is illegible. To the left of the title is an illegible statement and signature by the ""Deputy Registrar"". In the bottom left hand corner of the map is the numbering: ""Book 2, Plan 34"". Lastly, in the bottom right hand corner is the author's name and date: ""Surveyed by MacKintosh, P.L.Surveyor, Oct. 1856""."	RMC_7570	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Plan of village lots in Waterdown	1856-10	1856	eng	map	[1:792]	"1 map : 26 x 25 cm., on sheet 36 x 36 cm. Map has multiple creases and tears throughout, most notably down the centre of the map. In the bottom left hand corner there appears to be a small burn mark. Map has been lined with archival paper on verso."	Waterdown (Ont.)	local	Hamilton (Ont.)	Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Township of East Flamboro	Wentworth County	Hamilton	Waterdown	"Lots 5, 6, 13, 14, Concession 3"	code	"Mackintosh, James"	personal	Hamilton Registry Office	[Hamilton]	marccountry	text		Public Land Surveyor	marcrelator	text								East Flamborough (Ont.)																														"Mackintosh, James. Plan of village lots in Waterdown. [1:792]. Canada: Hamilton Registry Office, 1856."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70385/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70385
70426	cartographic	"Map outlines 10 lots in the vicinity of Aldershot, including land found in both the former counties of Wentworth and Halton. The title, in its entirety, reads: ""Plan showing Lots Numbers 1, 2 and 3 in the Subdivision of part of Lot No. 1 in the Broken Front Concession of the Township of East Flamboro in the County of Wentworth, the property of John J. Filman"". The Filmans are a significant family in the early history of Aldershot, and several historic Filman houses remain in Burlington. John J. Filman (1861-1932) was the son of James Conrad Filman (1821-1888), who is shown as the owner of lots 1 & 2, in East Flamboro's Broken Front Concession in 1875. When James died, brother David inherited the northern half of the property while John inherited the southern half. Below the title is the landowner's certifying statement: ""This plan and subdivision has been prepared under and with my approval for registry. Burlington Mar 30th 1897. [Signed] John J. Filman"". To the right of the title is a statement and signature by the clerk for the County of Halton, ""George Arthur Watson"", on March 30, 1897. One can also find, in the top right corner, a certification statement by the plan's surveyor ""Ths. R. Hewson, O.L.S."", ""Dated...Hamilton, Ont. 25th March 1897"". Thomas Ringwood Hewson (1856-1898) was an Irish-Canadian surveyor who partnered with James Williams Tyrrell (1863-1945) while in Hamilton. At the very bottom of the map is a statement which appears to indicate that this copy of the plan is a duplicate given to the County of Wentworth. It reads: ""Duplicate original fyled in the Registry Office for the County of Wentworth at 3:23 O'clock P.M. of the First day of April A.D. 1899 as County No 15. [Signed] George Aurey, Deputy Registrar"". The scale is listed as: ""Scale : 3 chains to 1 inch"". The directional arrow is found in the upper right hand corner, decorated fancifully with a ""magnetic N"". Of note are three lots which are highlighted in red and accompanied by a note: ""The part which has been subdivided is colored Red."" Geographically, the area is found in eastern Aldershot, just below the Queen Elizabeth Way. Greenwood Cemetery is listed on the map as well as the ""Road to Burlington"" [now approximately Greenwood Drive] and a ""Lane 50 links wide"" [now approximately Francis Road]."	RMC_7565	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"Plan showing lots numbers 1, 2 and 3 in the subdivision of part of lot no.1 in the Broken Front Concession"	1897-03-25	1897	eng	map	[1:2380]	"1 map : col., 40 x 63 cm., on sheet 41 x 63 cm. Map is printed on rag linen paper and lined with a similar material as archival paper on verso. The map is full of detail including three lots which have been coloured red at the base of the map. There are a few minor tears along the edges."	Hamilton (Ont.)	local	East Flamborough (Ont.)	Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Township of East Flamboro	Wentworth County	"Hamilton, Burlington"	Aldershot	"Lot 1, Concession BF"	code	"Hewson, Thomas Ringwood, 1856-1898"	personal	Registry Office Hamilton	"Hamilton, Burlington"	marccountry	text	of the Township of East Flamborough in the County of Wentworth. The property of John J. Filman	Ontario Land Surveyor	marcrelator	text								Burlington (Ont.)																														"Hewson, Thomas Ringwood, 1856-1898. Plan showing lots numbers 1, 2 and 3 in the subdivision of part of lot no.1 in the Broken Front Concession. [1:2380]. Canada: Registry Office Hamilton, 1897."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70426/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70426
70453	cartographic	"Manuscript map.  Cartographer unknown.  This plan does not include a title, scale, date, or directional arrow. It outlines an area in central Hamilton, at the base of the Escarpment. The streets listed are the following: Emerald Street, Main Street, Clarke Street [now Hunter Street], and Maria Street [now Stinson Street].  The map highlights 78 lots around Clarke Street to be developed. It also outlines landowner properties with lots marked as ""Mackenzie"", ""Glen"", and ""Rev. Rice"" [may be Rev. Harvey J. Rice]. The map covers an area south of Main and east of Emerald Street, the former St. Patrick's Ward, near the eastern border of the former city. Today, the area is now the Stinson neighbourhood, more precisely surrounding Tisdale Street. Subsequent maps indicate that the plan was never realized as drawn. Marcus Smith's 1850-51 Map of the City of Hamilton shows that Clarke Street was renamed Peel Street [now Hunter] and Maria Street was renamed Jane Street [now Stinson]. The map also shows land owned in the vicinity by Hiram Clarke [after which the street is named].  Near the upper left corner there is a somewhat illegible signature, ""W.B. [Johnston?]"". The 1876 Hamilton City Directory shows two entries for ""W. Johnston""; one as a clerk and the other as a carpenter.  Handwritten along lower edge, ""No 42, Drawer 5""."	RMC_7567	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	"[Map of Hamilton, Main and Emerald Streets]"	1810	[between 1810 and 1860?]	eng	map	Scale not given	"1 map ; sheet 70 x 47 cm. The map is very faded with many overlapping pencil markings, making it very difficult to read. There are creases and wear marks along its edges. There is one small section of black writing in pen found in the bottom left hand corner. Lastly, there is a band of tape along the road labelled ""Main St"" at the base of the map. It has been lined with archival paper on verso."	Hamilton (Ont.)	local		"[Hamilton, Ont.?]"	iso639-2b	code	marcform	North America	Canada	Ontario		Wentworth	Hamilton	Stinson neighbourhood	"Lot 11, Concession 3"	text	[Author unknown]		[Publisher unknown]																																													"[Author unknown]. [Map of Hamilton, Main and Emerald Streets]. Scale not given. [Hamilton, Ont.?]: [Publisher unknown], [between 1810 and 1860?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70453/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70453
70460	cartographic	"The map's title appears to be ""Part of Hamilton"". It appears as if a portion of the eastern side of the map may have been cut short. The map outlines an area in Hamilton's north end, near the West Harbour and the current CN Railway Company yard. Streets listed are Stratchan Street, Stuart Street, Bay Street, Fawcott Street [now nonexistant], and Tiffany Street [still in existence but its northern section has been replaced by the CN tracks]. Burlington Bay figures prominently on the map; a curved line roughly indicates the location of the shoreline. The scale is found in the bottom right-hand corner in linear form, showing 1 inch as approximately 64 feet. Located in the vicinity of this map are the following sites:  Bayfront Park and the Custom House on Stuart Street [now the Workers Arts and Heritage Centre]."	RMC_7566	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Part of Hamilton	1820	[between 1820 and 1900]		map	[1:768]	"1 map : 35 x 72 cm., on sheet 53 x 72 cm. Map has multiple tears along its edges. There is a significant tear running horizontally across the centre of the map. An attempt has been made, on the centre-left and along the edges, to mend the significantly torn portions. There are pencil markings throughout, indicating such things as lot dimensions and lot owners. The map has been lined with archival paper on verso."	Hamilton (Ont.)	local		[Place of publication unknown]			marcform	North America	Canada	Ontario	Barton Township	Wentworth County	Hamilton	North end	"Lot 15, Concession 1"		[Author unknown]		[Publisher unknown]																												eng		Canada	eng	[Hamilton]	iso639-2b	code	Canada	code						[Hamilton]	marccountry	text	"[Author unknown]. Part of Hamilton. [1:768]. [Place of publication unknown]: [Publisher unknown], [between 1820 and 1900]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70460/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70460
70477	cartographic	"This map shows a plan for a lakeshore community known as ""Ontario"", some ""10 miles east of Hamilton"". Geographically, this would locate the plan in Winona, Ontario. Although there is no directional arrow, the map is oriented so that north (and the shoreline) are found at the bottom of the map. The scale is noted just below the title as ""4 Chains to an Inch"".  There is a note of certification found along the left margin of the map which shows that it was registered and dated ""at Hamilton 20 Octr. 1869"". The note has been signed by ThS. A Blyth, P.L.S. and H.B. Willson [presumably Hugh Willson, brother of John Willson]. The streets listed are: East Avenue, Centre Avenue, West Avenue, Willson Street [named after the Willson family], Concession Street, Ontario Street, Railway Street, and Elizabeth Street [named for the wife of Hon. John Willson]. Today, East Avenue is now East Street (in a section north of the QEW), Centre Avenue is now Winona Road, and West Avenue is still West Avenue (in a small section south of the QEW). All other streets are no longer in existence. In both top corners are the words ""Book 3, Plan 11"". The map outlines a number of buildings and named lots. Just south of the railroad tracks is the ""Depot G.W.R."" [Great Western Railway]. Along the shoreline, near the pier [which was built by Wilson], are found a hotel and three large lots owned by ""W.P. McLaren, Esqr"", ""Hon. John Willson"", and ""J.W. Willson"". William Patterson McLaren (1810-1866) was a well-known Scottish businessman, philanthropist and politician who settled in Saltfleet Township. He served as Chairman on the Board of Directors for the Great Western Railroad Company and on the Legislative Assembly of Upper Canada. He was also well-known for his hobby of fruit farming. McLaren's peaches were even hailed by the famous landscape architect Andrew Jackson Downing (1815-1852) in his journal The Horticulturalist. Hon. John Willson (1776-1860) was a New Jersey-born loyalist who served in the Legislative Assembly of Upper Canada. He was the Speaker of the Assembly from 1825-1828 and he was appointed to the Legislative Council in 1839. He was also a justice of the peace in the Gore District and a judge in the district court. Lastly, (J.W.) John Wesley Willson (1819-1889) was the son of John Willson. The former home of John Wesley became the well-known Winona Park Hotel, an idyllic destination for the passengers of the nearby railway. It is unclear whether the ""hotel"" depicted in lots 45-47 in the plan is the Winona Park Hotel or if it is the ""Lake House"" which is illustrated in great detail atop the map. The ""Lake House"" was the work of listed architect ""W. Boultbee"" [William Boultbee (1832-1902)]. It is a late Georgian-Italiante structure. The scale of the building is listed as ""12 ft to an Inch"" [1:144]. It is worth mentioning that the Willson family continued to live in this area for many subsequent years. The 1875 Wentworth County Atlas, for example, shows both ""A.B. Wilson"" and ""J.W. Wilson"" in the vicinity of Winona, Ontario (Lots 4-5, Concession BF-1). Much of the land drawn on the map is now residential property today, though the area also includes the John Willson Park and Liuna Gardens."	RMC_7572	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Plan of Ontario	1869-10-20	1869	eng	map	[1:3170]	"1 map : 58 x 41 cm., on sheet 63 x 56 cm. Map has many tears and discolourations throughout. Significant portions are missing in the centre-top of the map and in the bottom left corner. Map has been lined with archival paper on verso."	Hamilton (Ont.)	local	Saltfleet (Ont.)	Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Township of Saltfleet	Wentworth County	Hamilton	Winona	"Lot 4, Concession BF-1"	code	"Blyth, Thomas Allen"	personal	"Ths. Allen Blyth, P.L.S."	Hamilton	marccountry	text	"10 miles east of Hamilton, according to the survey made by T.A. Blyth, P.L.S."	Public Land Surveyor	marcrelator	text								Stoney Creek (Ont.)																														"Blyth, Thomas Allen. Plan of Ontario. [1:3170]. Canada: Ths. Allen Blyth, P.L.S., 1869."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70477/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70477
70491	cartographic	"Map shows the former Township of Ancater. It is a copy of the other Ancaster plan entitled: ""Ancaster"". The map shows only concessions, early lot lines, waterways, and communities (drawn in pencil). The following villages and towns are labeled: Alberton, Ancaster, Carluke, and Jerseyville. Dundas Street [now Governor's Road or Highway 99] is shown at the top of the map. On the verso of the map it reads ""Page 42nd Ancaster"".  Very little subsequent detail is shown."	RMC_7580	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Plan No. 1 Ancaster	1846	[1846?]	eng	map	Scale not given	"1 map : 50 x 49 cm., on sheet 56 x 51 cm. Map is missing significant sections. Left and right sides have been shortened by tearing; showing only lots 16-52. Map has been lined with archival paper on verso."	Hamilton (Ont.)	local	Ancaster (Ont.)	Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Township of Ancaster	Wentworth County	Hamilton	Ancaster	"Lots 16-52, Concession 1-7"	code	[Author unknown]		[Publisher unknown]	Hamilton	marccountry	text																																										"[Author unknown]. Plan No. 1 Ancaster. Scale not given. Canada: [Publisher unknown], [1846?]."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70491/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70491
70496	cartographic	"The map's scale is found in the bottom left hand corner, ""Scale 100 feet to an inch"". The map plan corresponds to another similarly titled plan surveyed by Cyrus Carroll in our collection. The map shows a number of lots near Lake Ontario in present-day Winona in the former Township of Saltfleet. Roads mentioned include Centre Avenue [now Winona Road] and two private avenues [both non-existent in the configuration shown]. The homestead shown in the bottom left hand corner was the family farm of John Willson. The family home became the well-known palatial Winona Park Hotel. There are four blocks listed in the plan with block 3 having 49 lakefront lots. A large directional arrow is found on the right side of the map, pointing downwards to indicate the north is at the bottom of the map. In both bottom corners there are certificates signed and dated at Hamilton on November 22 1893. Both certify that the plan follows the ""terms of the Registry Act"" and have been signed by witness Charles E. Martin. One is signed by Cyrus Carroll, Provincial Land Surveyor, and the other by two property owners [names illegible]. To the right of the title is the full witness statement of Charles E. Martin, signed January 25 1894. There is also a signature statement by Lewis Springer, Registrar, indicating that the plan's duplicate copy has been filed in the Registry Office on April 28, 1894."	RMC_7573	http://www.loc.gov/mods/v3	http://www.loc.gov/mods/v3	http://www.w3.org/1999/xlink	http://www.w3.org/2001/XMLSchema-instance	Plan of survey of park-lots laid out on lot no. 5 in the 1st and B.F. Cons. in the Township of Saltfleet	1893-11-22	1893	eng	map	[1:1200]	"1 map : colour ; 49 x 38 cm, on sheet 76 x 60 cm. Map has been lined with archival paper on verso."	Saltfleet (Ont.)	local	Hamilton (Ont.)	Canada	iso639-2b	code	marcform	North America	Canada	Ontario	Township of Saltfleet	Wentworth County	Hamilton	"Winona North, Saltfleet"	"Lot 5, Concesssions BF-1"	code	"Carroll, Cyrus, 1834-1923"	personal	"Springer, Lewis"	Hamilton	marccountry	text		Ontario Land Surveyor	marcrelator	text																																						"Carroll, Cyrus, 1834-1923. Plan of survey of park-lots laid out on lot no. 5 in the 1st and B.F. Cons. in the Township of Saltfleet. [1:1200]. Canada: Springer, Lewis, 1893."	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70496/datastream/TN/view	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A70496
